project,step,mean_population_accuracy,std_population_accuracy,std_sample_population_accuracy,se_population_accuracy,runs
NAS_Bench_201,1,89.9829605102539,1.2017420573478947,1.2667473537453449,0.4005806857826315,10
NAS_Bench_201,2,90.10708389282226,1.0608850728360868,1.1182710552785537,0.35362835761202893,10
NAS_Bench_201,3,90.9083854675293,1.32346417051239,1.3950537268148684,0.44115472350412993,10
NAS_Bench_201,4,90.82255401611329,1.0969470867798186,1.1562837556368681,0.3656490289266061,10
NAS_Bench_201,5,91.42274780273438,0.9988544059284041,1.0528849912093834,0.33295146864280134,10
NAS_Bench_201,6,91.85050201416016,1.1840668491491364,1.2481160484034255,0.3946889497163788,10
NAS_Bench_201,7,92.20035171508789,0.8553054979737986,0.9015711562872448,0.2851018326579329,10
NAS_Bench_201,8,92.96550216674805,0.6293397818781338,0.6633823776294877,0.20977992729271125,10
NAS_Bench_201,9,92.82832641601563,0.7913574158509111,0.8341639591179714,0.263785805283637,10
NAS_Bench_201,10,93.33588562011718,0.7012584147636652,0.7391912730040767,0.23375280492122172,10
NAS_Bench_201,11,93.3593879699707,0.6753947309671507,0.7119285565109511,0.2251315769890502,10
NAS_Bench_201,12,93.70269165039062,0.514991519539281,0.5428487258050785,0.17166383984642697,10
NAS_Bench_201,13,93.73649520874024,0.696827339522372,0.7345205095887211,0.23227577984079062,10
NAS_Bench_201,14,93.80103302001953,0.5265903121192711,0.555074926691955,0.175530104039757,10
NAS_Bench_201,15,93.92049179077148,0.4590681432445517,0.4839003112924078,0.15302271441485055,10
NAS_Bench_201,16,94.1857536315918,0.47219464773117925,0.49773686192379524,0.15739821591039307,10
NAS_Bench_201,17,94.14266433715821,0.4303198696894838,0.4535969702152076,0.14343995656316127,10
NAS_Bench_201,18,94.39204788208008,0.2625052763649963,0.27670485704178477,0.08750175878833209,10
NAS_Bench_201,19,94.3129150390625,0.33257316701186723,0.3505628988043584,0.11085772233728908,10
NAS_Bench_201,20,94.46689071655274,0.4965511983989207,0.5234109206089146,0.16551706613297357,10
NAS_Bench_201,21,94.55635528564453,0.44263448556517965,0.46657771510763024,0.14754482852172657,10
NAS_Bench_201,22,94.54600524902344,0.343084915838221,0.36164325496531824,0.11436163861274032,10
NAS_Bench_201,23,94.6550910949707,0.4447225273264273,0.46877870437932756,0.14824084244214242,10
NAS_Bench_201,24,94.60689849853516,0.45827607292063016,0.4830653958622013,0.1527586909735434,10
NAS_Bench_201,25,94.52024841308594,0.6408087903080966,0.6754717740102724,0.21360293010269882,10
NAS_Bench_201,26,94.72493972778321,0.24475168891693674,0.2579909327168366,0.08158389630564558,10
NAS_Bench_201,27,94.81376724243164,0.14789937841109016,0.15589963343405996,0.049299792803696715,10
NAS_Bench_201,28,94.79059753417968,0.34750823842284306,0.3663058463630078,0.115836079474281,10
NAS_Bench_201,29,94.79110336303711,0.2752463494466916,0.29013512729939067,0.0917487831488972,10
NAS_Bench_201,30,94.83427352905274,0.2648125920951899,0.2791369813713002,0.08827086403172997,10
NAS_Bench_201,31,94.96251983642578,0.24895607147434612,0.26242274106220237,0.08298535715811538,10
NAS_Bench_201,32,94.89571838378906,0.14110066975432384,0.14873316526629812,0.04703355658477461,10
NAS_Bench_201,33,94.80527572631836,0.32384950872301904,0.3413673555637693,0.10794983624100635,10
NAS_Bench_201,34,94.92010116577148,0.29335731121267,0.3092257572316297,0.09778577040422333,10
NAS_Bench_201,35,94.9550392150879,0.23306288503637845,0.24566985158831028,0.07768762834545948,10
NAS_Bench_201,36,95.00178833007813,0.19316592814650574,0.20361476642779516,0.06438864271550192,10
NAS_Bench_201,37,95.01527099609375,0.19942884741821132,0.21021646299457936,0.06647628247273711,10
NAS_Bench_201,38,94.99550933837891,0.1278748283260392,0.13479190430443347,0.0426249427753464,10
NAS_Bench_201,39,95.07981414794922,0.16531316959570222,0.17425538104803856,0.05510438986523407,10
NAS_Bench_201,40,95.05510101318359,0.14446270579495996,0.15227706242095962,0.04815423526498664,10
NAS_Bench_201,41,94.99712448120117,0.12400877668101148,0.1307167280543907,0.04133625889367049,10
NAS_Bench_201,42,95.03733749389649,0.13152804345112296,0.13864273116371403,0.043842681150374326,10
NAS_Bench_201,43,95.07473220825196,0.14132939210875461,0.1489742597968973,0.047109797369584865,10
NAS_Bench_201,44,95.12483215332031,0.20483915412821627,0.2159194270091486,0.06827971804273876,10
NAS_Bench_201,45,95.10822677612305,0.19194369181578974,0.20232641621310538,0.06398123060526324,10
NAS_Bench_201,46,95.14087219238282,0.1822388945584274,0.1920966616919653,0.060746298186142474,10
NAS_Bench_201,47,95.17205429077148,0.2710663491168878,0.28572902007857903,0.09035544970562927,10
NAS_Bench_201,48,95.25718460083007,0.21921882729065265,0.23107693340984703,0.07307294243021754,10
NAS_Bench_201,49,95.37140579223633,0.1947411747224181,0.2052752221132166,0.0649137249074727,10
NAS_Bench_201,50,95.77137298583985,0.24936823622751242,0.26285720085928455,0.08312274540917079,10
