variant,dynamic_prior,fitness_guidance,diffusion_consistency,posterior_sampling,runs,test_accuracy_mean,test_accuracy_std,best_test_accuracy_mean,best_test_accuracy_std,validity_pct_mean,validity_pct_std,connected_pct_mean,connected_pct_std,search_seconds_mean,search_seconds_std,unique_architectures_mean,unique_architectures_std
Full PK-DDE-NAS,True,True,True,True,100,47.077222146962484,0.30760557105568165,47.077222146962484,0.30760557105568165,100.0,0.0,99.778125,0.3054604850951191,0.10319740630686283,0.0139042795712975,160.62,11.676428816165922
w/o dynamic prior,False,True,True,True,100,46.86999994445801,0.33746869897476517,46.86999994445801,0.33746869897476517,100.0,0.0,99.525,0.42482542463244993,0.0998544565658085,0.02009757968223166,184.35,11.846983164544891
w/o fitness guidance,True,False,True,True,100,47.00594437408447,0.3201832031943987,47.00594437408447,0.3201832031943987,100.0,0.0,99.778125,0.2854277259525154,0.1061544537404552,0.011332921979518375,184.76,14.780631607176694
w/o diffusion consistency,True,True,False,True,100,47.069111039174395,0.2968033121823416,47.069111039174395,0.2968033121823416,100.0,0.0,99.778125,0.3054604850951191,0.09840443009743467,0.011630952324687397,162.08,11.646025029592671
w/o posterior sampling,True,True,True,False,100,45.061555510576035,0.815544393895281,45.061555510576035,0.815544393895281,100.0,0.0,99.871875,0.19409182944569242,0.061652442272752524,0.007488814404926689,23.86,5.07523199449836
Random mutation,False,False,False,False,100,46.61394439503987,0.38113602539322217,46.61394439503987,0.38113602539322217,100.0,0.0,99.575,0.4131480217534484,0.09211036411579698,0.01398292252264471,207.58,8.491445487350576
