project,step,mean_population_accuracy,std_population_accuracy,std_sample_population_accuracy,se_population_accuracy,runs
NAS_Bench_201,1,39.811916617045924,1.843710265640095,1.943441261618927,0.6145700885466983,10
NAS_Bench_201,2,40.7802221757804,1.6854358984727649,1.776605429795415,0.5618119661575882,10
NAS_Bench_201,3,41.86672216878255,1.3511683803177277,1.4242565280682145,0.45038946010590925,10
NAS_Bench_201,4,42.63827772933536,1.0134839779592322,1.068305914146354,0.3378279926530774,10
NAS_Bench_201,5,43.3754166223314,1.284004163467222,1.353459227231861,0.4280013878224072,10
NAS_Bench_201,6,43.85263883879767,0.47173660259692574,0.4972540399586623,0.15724553419897522,10
NAS_Bench_201,7,44.15963883891635,0.6206125485906034,0.6541830660094093,0.20687084953020113,10
NAS_Bench_201,8,44.3079999571779,0.7203487667563948,0.7593142708811965,0.2401162555854649,10
NAS_Bench_201,9,44.661638842612376,0.43031135014673694,0.45358798982863985,0.143437116715579,10
NAS_Bench_201,10,44.827388845019875,0.46764423227969715,0.4929403028815596,0.15588141075989903,10
NAS_Bench_201,11,45.153694399261475,0.30473913817578757,0.3212232562774193,0.10157971272526252,10
NAS_Bench_201,12,45.291638838873965,0.5217358821058936,0.5499579081639036,0.17391196070196452,10
NAS_Bench_201,13,45.11027773477342,0.5991184500526202,0.631526296798702,0.19970615001754005,10
NAS_Bench_201,14,45.46994439731174,0.19405579318274088,0.20455276653601226,0.06468526439424696,10
NAS_Bench_201,15,45.41991661777072,0.26990796981943166,0.28450798108713,0.08996932327314389,10
NAS_Bench_201,16,45.65019439871894,0.16605332249897803,0.17503557071175116,0.05535110749965933,10
NAS_Bench_201,17,45.665388843087094,0.34320303438248834,0.3617677628432477,0.11440101146082944,10
NAS_Bench_201,18,45.794083288743764,0.2878631603319416,0.3034344137010558,0.09595438677731387,10
NAS_Bench_201,19,45.68747217688666,0.3697802216475854,0.3897825780294237,0.12326007388252845,10
NAS_Bench_201,20,45.7373055081092,0.25653556227191077,0.2704122258703992,0.08551185409063693,10
NAS_Bench_201,21,45.82988883981493,0.25529114428561694,0.26910049413774295,0.08509704809520564,10
NAS_Bench_201,22,45.932472178514274,0.1910736164223091,0.20140927621995003,0.06369120547410304,10
NAS_Bench_201,23,45.78574995141771,0.27441402469601284,0.28925777997769847,0.09147134156533762,10
NAS_Bench_201,24,45.87991661928813,0.20140134369304655,0.2122956566294716,0.06713378123101552,10
NAS_Bench_201,25,45.92211106619093,0.12879930550162205,0.1357663888109939,0.04293310183387402,10
NAS_Bench_201,26,46.066055510389546,0.11266275883293292,0.11875697513010718,0.03755425294431097,10
NAS_Bench_201,27,46.04419439918517,0.15732517681091088,0.1658352973370613,0.05244172560363696,10
NAS_Bench_201,28,46.1674166190762,0.14413947446835393,0.15193634668656206,0.04804649148945131,10
NAS_Bench_201,29,46.13358329217699,0.17863790642575905,0.18830088691647576,0.05954596880858635,10
NAS_Bench_201,30,46.15052773065356,0.16344079530514952,0.17228172525120908,0.0544802651017165,10
NAS_Bench_201,31,46.198694396591186,0.15318662264679725,0.16147287821087017,0.05106220754893242,10
NAS_Bench_201,32,46.147305508719555,0.14635556940890035,0.15427231586099607,0.048785189802966776,10
NAS_Bench_201,33,46.17305551202563,0.1526589931098876,0.16091670784506537,0.0508863310366292,10
NAS_Bench_201,34,46.15005551584032,0.09796074737865618,0.10325969433630751,0.03265358245955206,10
NAS_Bench_201,35,46.13077773412069,0.12213069695788124,0.12873705820356737,0.04071023231929375,10
NAS_Bench_201,36,46.132027737528475,0.14541373017156495,0.15327953013443082,0.04847124339052165,10
NAS_Bench_201,37,46.16552773390028,0.139124822083441,0.14665043894978863,0.04637494069448033,10
NAS_Bench_201,38,46.17183329090542,0.12468516743191504,0.13142970650809965,0.04156172247730502,10
NAS_Bench_201,39,46.212722171817354,0.11426190551927473,0.12044262374395752,0.038087301839758246,10
NAS_Bench_201,40,46.14463884618971,0.08746004436953499,0.09219098148903858,0.029153348123178328,10
NAS_Bench_201,41,46.16227773395962,0.18028671438514188,0.19003888310843045,0.06009557146171395,10
NAS_Bench_201,42,46.26058328924391,0.06397065103920767,0.0674309868959045,0.021323550346402553,10
NAS_Bench_201,43,46.274749952418006,0.12143982149882734,0.12800881152685914,0.04047994049960912,10
NAS_Bench_201,44,46.26255551150004,0.12852377953880342,0.1354759589453213,0.042841259846267805,10
NAS_Bench_201,45,46.27802773186578,0.09274146530728239,0.0977580879708333,0.03091382176909413,10
NAS_Bench_201,46,46.275027725652066,0.0959947476447907,0.10118734865687426,0.03199824921493023,10
NAS_Bench_201,47,46.426638846783106,0.14248854373997166,0.15019611289961246,0.04749618124665722,10
NAS_Bench_201,48,46.51649995154487,0.13270774934960475,0.1398862503664933,0.04423591644986825,10
NAS_Bench_201,49,46.60166662750244,0.2099973263587951,0.22135661794650202,0.06999910878626503,10
NAS_Bench_201,50,47.191111084662545,0.24000002577039936,0.2529822399778564,0.08000000859013312,10
